nom_ent,nom_mun,nom_loc,ageb,pobfem,p_0a2_f,p_3a5_f,p_6a11_f,p_12a14_f,p_15a17_f,p_18a24_f,p_25a49_f,p_50a_59_f,p_60ymas_f
México,Toluca,Toluca de Lerdo,2411,0,0,0,0,0,0,0,0,0,0
México,Toluca,Toluca de Lerdo,2426,726,19.0,19.0,51.0,12.0,18.0,64.0,281.0,176.0,86.0
México,Toluca,Toluca de Lerdo,2430,660.0,3.0,10.0,24.0,6.0,13.0,52.0,256.0,196.0,100.0
México,Toluca,Toluca de Lerdo,2445,1232.0,36.0,36.0,141.0,40.0,75.0,127.0,508.0,228.0,41.0
México,Toluca,San Pedro Totoltepec,2464,1039,64.0,59.0,121.0,58.0,50.0,137.0,404.0,80.0,66.0
México,Toluca,Santa Cruz Otzacatipan,2479,2477.0,115.0,125.0,309.0,133.0,133.0,278.0,965.0,266.0,153.0
México,Toluca,San Miguel Totoltepec,2483,2748.0,137.0,148.0,320.0,101.0,110.0,309.0,1099.0,436.0,88.0
México,Toluca,San Diego de los Padres Cuexcontitlán,2500,1915,95.0,142.0,276.0,70.0,104.0,236.0,718.0,203.0,71.0
México,Toluca,Tlachaloya Primera Sección,2515,1780.0,88.0,106.0,208.0,79.0,92.0,251.0,613.0,253.0,90.0
México,Toluca,Barrio Santa Cruz,2549,1881.0,109.0,118.0,234.0,116.0,128.0,265.0,675.0,160.0,76.0
México,Toluca,San Pedro Totoltepec,2553,263,11.0,13.0,35,10,20,32.0,100.0,27.0,15
México,Toluca,Toluca de Lerdo,2572,2494,127.0,157.0,341.0,120.0,124.0,320.0,886.0,277.0,142.0
México,Toluca,Toluca de Lerdo,2587,3437,251.0,237.0,414.0,201.0,180.0,523.0,1197.0,283.0,151.0
México,Toluca,Toluca de Lerdo,2604,690,9.0,10.0,39.0,9.0,10.0,43.0,372.0,198.0,0.0
México,Toluca,Toluca de Lerdo,2619,849,40.0,49.0,81.0,38.0,33.0,75.0,403.0,95.0,35.0
México,Toluca,Toluca de Lerdo,2623,2472.0,143.0,160.0,308.0,157.0,113.0,283.0,953.0,216.0,139.0
México,Toluca,Toluca de Lerdo,2638,1723.0,44.0,57.0,147.0,38.0,60.0,200.0,729.0,409.0,39.0
México,Toluca,Toluca de Lerdo,2642,995.0,26.0,6.0,84.0,10.0,10.0,98.0,468.0,273.0,20.0
México,Toluca,Toluca de Lerdo,2657,288,16.0,15.0,34,10.0,4.0,47,112.0,42.0,8.0
México,Toluca,Toluca de Lerdo,2661,105.0,0.0,3.0,10.0,4.0,4.0,10.0,47.0,27.0,0.0
México,Toluca,Toluca de Lerdo,2676,786.0,28.0,22.0,92.0,15.0,23.0,67.0,341.0,194.0,4.0
México,Toluca,San Andrés Cuexcontitlán,2680,846,54.0,47.0,121,44.0,47.0,112.0,295.0,81.0,45.0
México,Toluca,San Mateo Otzacatipan,2695,1622,111.0,128,225,86,124,233,553,90.0,72.0
México,Toluca,El Cerrillo Vista Hermosa,2708,195,12,15,26,14,10,28,71,14.0,5.0
México,Toluca,San Pablo Autopan,2712,3963.0,216.0,289.0,539.0,218.0,227.0,515.0,1426.0,321.0,212.0
México,Toluca,San Pablo Autopan,2727,3529.0,201.0,237.0,454.0,170.0,188.0,480.0,1304.0,333.0,162.0
México,Toluca,La Constitución Toltepec,2731,1205.0,70.0,54.0,144.0,48.0,63.0,139.0,482.0,174.0,31.0
México,Toluca,La Constitución Toltepec,2746,2090.0,119.0,142.0,288.0,104.0,89.0,248.0,796.0,190.0,114.0
México,Toluca,San Juan Tilapa,2750,154,13.0,8.0,20.0,4.0,3.0,24.0,55.0,24.0,3.0
México,Toluca,Calixtlahuaca,2765,421.0,16.0,14.0,36.0,15.0,7.0,37.0,166.0,120.0,10.0
México,Toluca,Toluca de Lerdo,2799,882,29.0,35.0,95.0,21.0,28.0,80.0,447.0,106.0,41.0
México,Toluca,Toluca de Lerdo,2801,219,13.0,0.0,23,9.0,9.0,29,88.0,33.0,15
México,Toluca,Toluca de Lerdo,2816,684.0,25.0,38.0,76.0,37.0,37.0,85.0,271.0,98.0,17.0
